state,latitude,longitude
California,37.15120417,-121.6560442
California,37.39065241,-122.0944016
California,37.42184533,-122.0965184
California,33.56830638,-117.2046824
California,38.3212999,-122.3059614
California,38.28588119,-122.2743421
California,32.66055955,-117.1055656
California,37.55115908,-122.0514488
California,33.63897764,-117.8600891
California,33.61526489,-117.9306384
California,33.902656,-117.561895
California,34.18809,-118.41699
California,34.16616008,-118.3750157
California,34.2346925,-118.5551529
California,34.223551,-118.5019409
California,34.2369727,-118.5357062
California,38.10599116,-122.569609
California,37.81919,-122.262585
California,37.81076742,-122.2447664
California,37.73794079,-122.1974657
California,33.181893,-117.33164
California,33.20565306,-117.2886108
California,33.24521345,-117.2905077
California,34.073101,-117.552031
California,34.03373896,-117.6289287
California,33.82580291,-117.8364086
California,33.78717025,-117.8165609
California,39.49757019,-121.5723439
California,34.188414,-119.222122
California,34.2340585,-119.1786174
California,34.046596,-118.524413
California,33.80144669,-116.3874707
California,33.7281369,-116.4030505
California,33.8007721,-116.5216757
California,34.6023208,-118.1503435
California,37.44481459,-122.1692715
California,37.42387417,-122.14306
California,34.2157655,-118.4484125
California,33.8895507,-118.1598492
California,34.1462581,-118.1155796
California,34.14161412,-118.1319138
California,34.15168716,-118.0802008
California,35.61478349,-120.68339
California,33.80745746,-117.2265905
California,38.24360598,-122.6263893
California,34.00121278,-118.0842959
California,37.99584488,-122.2861696
California,38.00554369,-121.8394712
California,33.8875389,-117.8627577
California,38.71319049,-120.840093
California,37.97882256,-122.0668209
California,37.9458352,-122.0617206
California,37.6589742,-121.897972
California,34.03369167,-117.7567961
California,36.0808791,-119.0435775
California,32.9549061,-117.0389035
California,38.59431544,-121.2885637
California,34.10618342,-117.5688596
California,34.07764976,-117.5575713
California,34.11030699,-117.5354814
California,33.63911454,-117.5940962
California,40.58533694,-122.3540046
California,34.07399443,-117.2050534
California,34.061169,-117.18282
California,33.82168262,-118.3851422
California,37.4858199,-122.2289647
California,34.0772722,-117.3708097
California,34.13477401,-117.3693246
California,37.71164401,-120.9579371
California,33.90711401,-117.4582641
California,33.9555803,-117.389443
California,33.8903167,-117.3242894
California,38.80463575,-121.2065613
California,38.34732645,-122.7101281
California,33.7761393,-118.3757891
California,34.07458923,-118.0722079
California,38.77010544,-121.2647619
California,38.7431452,-121.2274527
California,38.78950857,-121.2809068
California,38.5616545,-121.4918286
California,38.59735988,-121.4158702
California,38.57402706,-121.4827571
California,38.5756165,-121.4033345
California,38.65552957,-121.5239543
California,38.6100294,-121.3858099
California,38.63867609,-121.5049854
California,38.5377911,-121.4923925
California,38.66020923,-121.3470415
California,38.557712,-121.4366786
California,38.5806059,-121.4986251
California,38.4650496,-121.4922938
California,36.7170151,-121.6539367
California,34.06925298,-117.2619017
California,37.6372041,-122.4172493
California,37.50220846,-122.2463726
California,33.44339123,-117.6137276
California,32.7150214,-117.1642958
California,32.7679405,-117.1531596
California,33.02013968,-117.1110702
California,32.97977175,-117.08269
California,32.79971539,-117.2426225
California,32.88780078,-117.1314298
California,32.75119541,-117.2056061
California,32.93772359,-117.2301245
California,32.773947,-117.070094
California,32.82049946,-117.1789808
California,32.76128862,-117.066615
California,32.83158377,-117.1646026
California,32.74865863,-117.1577837
California,32.9137603,-117.1458472
California,32.8695554,-117.2154937
California,34.28358072,-118.4413987
California,37.78430291,-122.4036173
California,37.73245288,-122.489983
California,37.7896709,-122.4039997
California,37.78205287,-122.4465364
California,37.7276457,-122.4765986
California,37.7889155,-122.3960781
California,37.7942596,-122.3974244
California,37.79046409,-122.3992995
California,37.78413352,-122.4069444
California,37.33502373,-121.8925935
California,37.38309379,-121.8967541
California,37.24983173,-121.876346
California,37.314442,-121.871406
California,37.29292404,-121.9911738
California,37.26219628,-121.9317896
California,37.32615899,-121.9439408
California,37.3312751,-121.8120879
California,37.37114722,-121.8449028
California,37.32171627,-121.9505501
California,37.41619674,-121.9549865
